mês;ângulo;comp_folha_fertil;comp_folha_esteril;comp_folha_nova
fevereiro;0;37,16555556;7,175;18,41698413
marco;30;37,40071429;12,44444444;19,67261905
abril;60;37,39563492;10,99444444;19,465
maio;90;37,04222222;8,35;19,60321429
junho;120;37,70198413;10,275;19,7884127
julho;150;38,33706349;16,11666667;18,6615873
agosto;180;37,4218254;16,38611111;17,04111111
setembro;210;37,19166667;22,13888889;20,96801587
outubro;240;36,7518254;23,58666667;19,63333333
novembro;270;36,01015873;23,03055556;18,12611111
dezembro;300;36,46928571;22,58349206;17,25444444
janeiro;330;35,26793651;19,40861111;21,02777778
